3798.00981748754,809.098010538621,184,0
4391.38750075689,610.79910250497,188,1
3958.05811833261,1692.19118570583,184,0
3295.02605006788,3285.70331670769,280,-1
3440.21028485696,1245.24081101968,376,0
3287.06522152812,2531.51719781969,280,-1
3689.09585496716,3031.7235390555,180,0
3582.51118393713,1973.82565016689,280,0
4308.48390118169,1998.31362579846,284,1
4204.47442443373,1190.66306075248,376,1
3187.5259807613,1749.29980954045,184,-1
4002.39543926824,364.03283497973,280,-2
3890.71265193485,3549.47872182068,376,2
4307.35248937763,3053.97488675734,284,1
3932.56870378188,2531.3802727349,376,0
3357.39644458724,466.887050770175,380,-2
