114.873142720939,204.884493669706,51,-1
127.967245657574,566.78290781271,50,0
270.268814473957,730.378443187335,52,0
156.686619522499,306.877074194959,52,0
324.201202962157,632.904066284645,51,0
586.055846670591,459.364282027356,51,0
678.175501168783,758.800601776101,51,2
139.76967024729,741.206683457058,74,2
504.478542934885,379.272032435571,52,0
403.839616609418,338.638858855672,51,0
216.073553398528,631.0167276808,52,0
479.880260972765,481.924753629675,50,0
377.656494384201,443.487988034601,52,0
273.844711029155,361.735737975548,74,0
244.098184395682,211.832565592221,74,-2
550.657456648158,736.621309208758,74,2
393.943945214732,549.284099344823,51,0
138.091276247243,434.777699433403,74,-1
467.877172471016,627.840784253223,52,0
729.487139347253,226.002056709128,73,1
400.876367577636,740.193660547907,74,2
550.89423004088,207.18515771238,74,-2
732.957759775173,641.250484131978,73,1
710.989208321729,490.799902885557,73,0
627.645757838831,337.146020927306,74,0
591.589922073492,587.779039459643,73,0
752.232932305476,367.275966970866,51,1
396.622652455857,209.255092172484,73,-2
268.279347439306,514.785434149466,74,0
