4389.19013750475,613.274863059553,188,1
3792.46852847054,805.359676716185,184,0
3954.55464888772,1685.60134701615,184,0
3281.04601020089,3288.99427802773,280,-1
3273.44307475295,2532.54016432185,280,-1
4303.68850252983,1994.89896499767,284,1
3683.44870322317,3027.92672231679,180,0
3170.78212386157,1743.41136097675,184,-1
3574.56622252263,1967.32382250244,280,0
4202.19456923504,1184.89969746926,376,1
3431.75209918795,1240.58837242203,376,0
3996.99185978265,364.241553851795,284,-2
3884.13652045517,3546.79668967468,376,2
4304.17121391233,3050.77012149448,280,1
3923.67631794258,2528.3088353008,376,0
3347.417636925,464.510523910067,380,-2
