1,1,114.680235131751,197.298277232944,51,-1
1,2,270.410476444619,729.195627308738,52,0
1,3,148.291329415946,301.740648978342,52,0
1,4,133.040675509163,558.103598300835,50,0
1,5,476.980397610131,482.166743792345,52,0
1,6,583.77361508435,459.368004719223,51,0
1,7,681.538563297989,758.319093301692,51,2
1,8,324.172163337763,631.947963285744,51,0
1,9,401.469018841903,338.379747529755,52,0
1,10,390.543808579906,549.387648840049,52,0
1,11,503.157899219732,378.693048230472,52,0
1,12,243.443522146252,211.025358564657,73,-2
1,13,139.231986858992,739.746733460298,74,2
1,14,465.131866434737,625.811287322307,52,0
1,15,213.716314317139,633.653150815573,52,0
1,16,730.666046046616,226.623277330197,74,1
1,17,552.592454150173,737.459218993817,74,2
1,18,399.528295747384,738.679859344748,74,2
1,19,375.609582807146,442.421351044391,52,0
1,20,273.645692914511,359.244978229439,73,0
1,21,138.113469260985,429.418425941773,74,-1
1,22,547.786879889995,208.990466320243,73,-2
1,23,627.934333874216,337.925817025908,74,0
1,24,709.746611540387,489.091195163369,73,0
1,25,733.640167426885,639.60581694952,74,1
1,26,264.693913001095,513.404668921814,74,0
1,27,752.60693797088,368.037256703934,52,1
1,28,396.73615186495,209.435134296722,73,-2
1,29,590.986559929449,588.569001382194,73,0
2,1,114.873142720939,204.884493669706,51,-1
2,2,270.268814473957,730.378443187335,52,0
2,3,156.686619522499,306.877074194959,52,0
2,4,127.967245657574,566.78290781271,50,0
2,5,479.880260972765,481.924753629675,50,0
2,6,586.055846670591,459.364282027356,51,0
2,7,678.175501168783,758.800601776101,51,2
2,8,324.201202962157,632.904066284645,51,0
2,9,403.839616609418,338.638858855672,51,0
2,10,393.943945214732,549.284099344823,51,0
2,11,504.478542934885,379.272032435571,52,0
2,12,244.098184395682,211.832565592221,74,-2
2,13,139.76967024729,741.206683457058,74,2
2,14,467.877172471016,627.840784253223,52,0
2,15,216.073553398528,631.0167276808,52,0
2,16,729.487139347253,226.002056709128,73,1
2,17,550.657456648158,736.621309208758,74,2
2,18,400.876367577636,740.193660547907,74,2
2,19,377.656494384201,443.487988034601,52,0
2,20,273.844711029155,361.735737975548,74,0
2,21,138.091276247243,434.777699433403,74,-1
2,22,550.89423004088,207.18515771238,74,-2
2,23,627.645757838831,337.146020927306,74,0
2,24,710.989208321729,490.799902885557,73,0
2,25,732.957759775173,641.250484131978,73,1
2,26,268.279347439306,514.785434149466,74,0
2,27,752.232932305476,367.275966970866,51,1
2,28,396.622652455857,209.255092172484,73,-2
2,29,591.589922073492,587.779039459643,73,0
3,1,114.828621997057,202.105390499011,51,-1
3,2,269.009579786269,730.29738500266,52,0
3,3,152.033891072507,304.980103697499,52,0
3,4,132.690885961789,561.17689351499,50,0
3,5,476.146794094745,481.92106965214,50,0
3,6,581.548948307208,459.633900978434,51,0
3,7,678.492947981423,759.151597598222,51,2
3,8,323.458649180708,633.772667008362,51,0
3,9,403.11439331478,338.924885039419,52,0
3,10,391.859148185694,550.992487760942,52,0
3,11,503.772138960323,380.48807920167,51,0
3,12,243.888785957608,210.334714249916,73,-2
3,13,139.864840123409,740.688208140693,74,2
3,14,466.872064543576,626.911561684245,52,0
3,15,214.814721623869,632.192107194897,52,0
3,16,729.24853349695,228.878818400749,74,1
3,17,550.441794116218,736.518327029857,74,2
3,18,398.227654932781,739.758291217839,74,2
3,19,375.06057054542,445.054038707785,52,0
3,20,272.630296997138,359.866073210283,73,0
3,21,138.827862608382,432.96809209129,74,-1
3,22,549.063391430721,208.014142927675,73,-2
3,23,627.774702747056,339.374864483883,73,0
3,24,707.707418785829,490.239686874325,73,0
3,25,731.379321507564,640.871343641369,73,1
3,26,265.942399815686,514.942447491877,74,0
3,27,751.22557436843,368.692105189777,51,1
3,28,397.313674679731,210.025360360025,73,-2
3,29,591.300789318292,588.380236666063,73,0
4,1,114.957730329795,203.69402494607,51,-1
4,2,268.688769792015,729.334706166713,52,0
4,3,153.714399964323,304.543026216895,52,0
4,4,131.474060540623,563.560137064282,50,0
4,5,476.040245792045,481.627844435529,51,0
4,6,581.809657303389,460.508369225163,51,0
4,7,678.665240490214,759.844104338508,52,2
4,8,324.767192976283,634.137144960155,51,0
4,9,401.124431091328,337.471087635256,51,0
4,10,392.213308997477,550.849619309018,52,0
4,11,503.030731998656,378.003408795976,52,0
4,12,245.755914965499,210.185312005649,74,-2
4,13,139.397572390877,741.348523362054,74,2
4,14,466.550573078895,628.660271318116,52,0
4,15,215.243080026427,633.772131626862,52,0
4,16,729.43057568624,227.036520627792,73,1
4,17,553.507099399099,737.387821828742,74,2
4,18,399.755040134939,738.74502912172,74,2
4,19,375.057331055239,443.258708375919,52,0
4,20,273.522607688501,361.0647211336,73,0
4,21,136.836791280778,432.001727382589,74,-1
4,22,549.272327402087,208.899400316194,74,-2
4,23,625.628199752432,337.844120710767,73,0
4,24,708.029283749834,490.11734569448,73,0
4,25,732.490948394936,640.067760812156,73,1
4,26,266.494869022988,515.680621904757,74,0
4,27,751.764905583827,367.207413798518,52,1
4,28,395.973906547048,208.812284060482,73,-2
4,29,592.74329430937,587.40493761663,72,0
